Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question,var_info
How do you feel you were treated at work compared to people of other races in past 12 months?,Reactions to Race,,4,627,Num,RRATWRK2,,"Within the past 12 months at work, do you feel you were treated worse than, the same as, or better than people of other races?","{'Value': ['1', '2', '3', '4', '5', '7', '9', 'BLANK'], 'Value Label': ['Worse than other races', 'The same as other races', 'Better than other races', 'Worse than some races, better than others', 'Only encountered people of the same race', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 08.13, EMPLOY1, is coded 3, 5, 6, 7, 8, 9 or Missing'], 'Frequency': ['3,015', '57,424', '4,701', '250', '990', '2,648', '1,181', '363,114'], 'Percentage': ['4.29', '81.79', '6.70', '0.36', '1.41', '3.77', '1.68', '.'], 'Weighted Percentage': ['5.90', '81.30', '6.12', '0.56', '0.82', '3.72', '1.57', '.']}"
"When seeking health care past 12 months, was experience worse, same, better than people of other races?",Reactions to Race,,5,628,Num,RRHCARE4,,"Within the past 12 months when seeking health care, do you feel your experiences were worse than, the same as, or better than for people of other races?","{'Value': ['1', '2', '3', '4', '5', '7', '9', 'BLANK'], 'Value Label': ['Worse than other races', 'The same as other races', 'Better than other races', 'Worse than some races, better than others', 'Only encountered people of the same race', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['3,348', '96,520', '22,510', '331', '560', '15,171', '2,893', '291,990'], 'Percentage': ['2.37', '68.29', '15.93', '0.23', '0.40', '10.73', '2.05', '.'], 'Weighted Percentage': ['3.66', '71.45', '13.11', '0.28', '0.26', '9.45', '1.80', '.']}"
Times past 30 days felt physical symptoms because of treatment due to your race,Reactions to Race,,6,629,Num,RRPHYSM2,,"Within the past 30 days, have you experienced any physical symptoms, for example, a headache, an upset stomach, tensing of your muscles, or a pounding heart, as a result of how you were treated based on your race?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['4,321', '134,822', '808', '1,071', '292,301'], 'Percentage': ['3.06', '95.60', '0.57', '0.76', '.'], 'Weighted Percentage': ['4.83', '93.83', '0.56', '0.78', '.']}"
Sex of child,Random Child Selection,,2,636,Num,RCSBORG1,,Is the child a boy or a girl?,"{'Value': ['1', '2', '9', 'BLANK'], 'Value Label': ['Boy -  Go to Module 31.04 RCHISLA1', 'Girl -  Go to Module 31.04 RCHISLA1', 'Refused', 'Not asked or MissingNotes: Section 08.15, CHILDREN, is coded 0, 88, 99, or Missing; or CHILDAGE > 215 months'], 'Frequency': ['24,319', '22,441', '2,528', '383,889'], 'Percentage': ['49.19', '45.40', '5.11', '.'], 'Weighted Percentage': ['49.39', '45.47', '4.87', '.']}"
Relationship to child,Random Child Selection,,6,670,Num,RCSRLTN2,,How are you related to the child?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '9', 'BLANK'], 'Value Label': ['Parent (include biologic, step, or adoptive parent)', 'Grandparent', 'Foster parent or guardian', 'Sibling (include biologic, step, and adoptive sibling)', 'Other relative', 'Not related in any way', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 08.15, CHILDREN, is coded 0, 88, 99, or Missing; or CHILDAGE > 215 months'], 'Frequency': ['37,572', '4,486', '670', '2,380', '1,402', '805', '63', '1,646', '384,299'], 'Percentage': ['76.64', '9.15', '1.37', '4.85', '2.86', '1.64', '0.13', '3.36', '.'], 'Weighted Percentage': ['74.76', '7.31', '1.18', '7.90', '3.83', '1.68', '0.19', '3.17', '.']}"
Hlth pro ever said child has asthma,Childhood Asthma Prevalence,,1,671,Num,CASTHDX2,,"Has a doctor, nurse or other health professional EVER said that the child has asthma?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to next module', ""Don't know/Not Sure -  Go to next module"", 'Refused -  Go to next module', 'Not asked or MissingNotes: Section 08.15, CHILDREN, is coded 0, 88, 99, or Missing'], 'Frequency': ['4,862', '40,379', '653', '1,730', '385,699'], 'Percentage': ['10.21', '84.79', '1.37', '3.63', '.'], 'Weighted Percentage': ['10.29', '84.51', '1.63', '3.57', '.']}"
Child still have asthma?,Childhood Asthma Prevalence,,2,672,Num,CASTHNO2,,Does the child still have asthma?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 08.15, CHILDREN, is coded 0, 88, 99, or Missing; or Module 32.01, CASTHDX2, is coded 2, 7, 9, or Missing'], 'Frequency': ['3,187', '1,448', '112', '2', '428,574'], 'Percentage': ['67.11', '30.49', '2.36', '0.04', '.'], 'Weighted Percentage': ['65.50', '30.31', '4.18', '0.01', '.']}"
Questionnaire Version Identifier,Questionnaire Version,,1,677-678,Num,QSTVER,,Questionnaire Version Identifier,"{'Value': ['10', '11', '12', '13', '20', '21', '22', '23'], 'Value Label': ['Landline single questionnaire', 'Landline multiple questionnaire version 1', 'Landline multiple questionnaire version 2', 'Landline multiple questionnaire version 3', 'Cell Phone single questionnaire', 'Cell Phone multiple questionnaire version 1', 'Cell Phone multiple questionnaire version 2', 'Cell Phone multiple questionnaire version 3'], 'Frequency': ['58,620', '13,036', '13,190', '3,499', '230,308', '50,567', '50,301', '13,802'], 'Percentage': ['13.53', '3.01', '3.04', '0.81', '53.15', '11.67', '11.61', '3.19'], 'Weighted Percentage': ['8.71', '1.84', '1.92', '0.62', '57.17', '12.95', '13.02', '3.77']}"
Language identifier,Questionnaire Language,,1,679-680,Num,QSTLANG,,Language identifier,"{'Value': ['1', '2', '3 - 99'], 'Value Label': ['English', 'Spanish', 'Other'], 'Frequency': ['414,251', '18,397', '675'], 'Percentage': ['95.60', '4.25', '0.16'], 'Weighted Percentage': ['91.77', '7.42', '0.80']}"
Metropolitan Status,Urban Rural,,2,1402,Num,_METSTAT,,Metropolitan Status,"{'Value': ['1', '2', 'BLANK'], 'Value Label': ['Metropolitan counties (_URBNRRL = 1,2,3,4)', 'Nonmetropolitan counties (_URBNRRL = 5,6)', 'Not defined or Missing'], 'Frequency': ['307,756', '117,244', '8,323'], 'Percentage': ['72.41', '27.59', '.'], 'Weighted Percentage': ['85.53', '14.47', '.']}"
Urban/Rural Status,Urban Rural,,3,1403,Num,_URBSTAT,,Urban/Rural Status,"{'Value': ['1', '2', 'BLANK'], 'Value Label': ['Urban counties (_URBNRRL = 1,2,3,4,5)', 'Rural counties (_URBNRRL = 6)', 'Not defined or Missing'], 'Frequency': ['369,363', '55,637', '8,323'], 'Percentage': ['86.91', '13.09', '.'], 'Weighted Percentage': ['93.81', '6.19', '.']}"
Metropolitan Status Code,Weighting Variables,,2,1409,Num,MSCODE,,Metropolitan Status Code,"{'Value': ['1', '2', '3', '5', 'BLANK'], 'Value Label': ['In the center city of an MSA', 'Outside the center city of an MSA but inside the county containing the center city', 'Inside a suburban county of the MSA', 'Not in an MSA', 'GU, PR, VI, or cell phone'], 'Frequency': ['25,385', '14,847', '14,953', '30,342', '347,796'], 'Percentage': ['29.68', '17.36', '17.48', '35.48', '.'], 'Weighted Percentage': ['34.18', '26.14', '19.66', '20.01', '.']}"
Sample Design Stratification Variable,Weighting Variables,,3,1410-1415,Num,_STSTR,,"Sample Design Stratification Variable  (Prior to 2011:  _STSTR is a five digit number that combines the values for _STATE (first two characters), _GEOSTR (third and fourth character), and _DENSTR2 (final character).)","{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Stratum weight,Weighting Variables,,4,1416-1425,Num,_STRWT,,Stratum weight  (Number of records in a stratum (NRECSTR) divided by the number of records selected (NRECSEL).),"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Raw weighting factor used in raking,Weighting Variables,,7,1446-1455,Num,_RAWRAKE,,"Raw weighting factor used in raking  (Number of adults in the household (NUMADULT, maximum of 5) divided by the imputed number of phones (_IMPNPH, maximum of 3).)","{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Design weight use in raking,Weighting Variables,,8,1456-1465,Num,_WT2RAKE,,Design weight used in raking  (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).),"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Imputed race/ethnicity value,Weighting Variables,,12,1471-1472,Num,_IMPRACE,,"Imputed race/ethnicity value  (This value is the reported race/ethnicity or an imputed race/ethnicity, if the respondent refused to give a race/ethnicity. The value of the imputed race/ethnicity will be the most common race/ethnicity response for that region of the state)","{'Value': ['1', '2', '3', '4', '5', '6'], 'Value Label': ['White, Non-Hispanic', 'Black, Non-Hispanic', 'Asian, Non-Hispanic', 'American Indian/Alaskan Native, Non-Hispanic', 'Hispanic', 'Other race, Non-Hispanic'], 'Frequency': ['321,255', '33,461', '12,244', '6,930', '43,382', '16,051'], 'Percentage': ['74.14', '7.72', '2.83', '1.60', '10.01', '3.70'], 'Weighted Percentage': ['57.39', '11.86', '6.07', '1.02', '19.45', '4.20']}"
"Child Hispanic, Latino/a, or Spanish origin calculated variable",Child Demographic Variables,,01,1482,Num,_CHISPNC,,"Child Hispanic, Latino/a, or Spanish origin calculated variable","{'Value': ['1', '2', '9', 'BLANK'], 'Value Label': ['Child of Hispanic, Latino/a, or Spanish origin', 'Child not of Hispanic, Latino/a, or Spanish origin', ""Don't know/Not Sure/Refused/Missing"", 'Not asked or Missing'], 'Frequency': ['9,624', '38,691', '228,715', '156,293'], 'Percentage': ['3.47', '13.97', '82.56', '.'], 'Weighted Percentage': ['6.53', '14.73', '78.74', '.']}"
Child Non-Hispanic Race including Multiracial,Child Demographic Variables,,04,1539-1540,Num,_CRACE1,,Child multiracial race categorization,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '77', '99', 'BLANK'], 'Value Label': ['White only', 'Black or African American only', 'American Indian or Alaskan Native only', 'Asian Only', 'Native Hawaiian or other Pacific Islander only', 'Other race only', 'Multiracial', ""Don't know/Not sure"", 'Refused', 'Missing'], 'Frequency': ['35,253', '4,455', '1,301', '1,703', '404', '1,310', '3,226', '855', '2,703', '382,113'], 'Percentage': ['68.84', '8.70', '2.54', '3.33', '0.79', '2.56', '6.30', '1.67', '5.28', '.'], 'Weighted Percentage': ['61.79', '12.70', '1.53', '5.67', '0.45', '4.29', '5.54', '2.48', '5.55', '.']}"
Four level child age,Child Weighting Variables,,04,1567,Num,CAGEG,,Four level child age,"{'Value': ['1', '2', '3', '4', 'BLANK'], 'Value Label': ['0 months to < 5 years of ageNotes: 0 LE CHILDAGE LT  60', '5 to < 10 years of ageNotes: 60 LE CHILDAGE LT 120', '10 to < 15 years of ageNotes: 120 LE CHILDAGE LT 180', '15 to < 18 years of ageNotes: 180 LE CHILDAGE LT 216', 'Not asked or Missing'], 'Frequency': ['9,300', '9,961', '12,275', '10,389', '391,398'], 'Percentage': ['22.18', '23.76', '29.28', '24.78', '.'], 'Weighted Percentage': ['24.23', '23.97', '28.40', '23.39', '.']}"
Final child weight: Land-line and Cell-Phone data,Child Weighting Variables,,5,1583-1592,Num,_CLLCPWT,,Final child weight: Land-line and Cell-Phone data  (Raking derived weight),"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Dual Phone Use Categories,Weighting Variables,,2,1680,Num,_DUALUSE,,Dual Phone Use Categories,"{'Value': ['1', '2', '9'], 'Value Label': ['Landline frame with a cell phone', 'Cell phone frame with a landline', 'No Dual Phone Use'], 'Frequency': ['75,742', '68,420', '289,161'], 'Percentage': ['17.48', '15.79', '66.73'], 'Weighted Percentage': ['9.55', '25.46', '64.98']}"
Dual Phone Use Correction Factor,Weighting Variables,,3,1681-1690,Num,_DUALCOR,,Dual phone use correction factor,"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Truncated design weight used in adult combined land line and cell phone raking,Weighting Variables,,4,1691-1700,Num,_LLCPWT2,,Truncated design weight used in adult combined land line and cell phone raking,"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayedNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Final weight: Land-line and cell-phone data,Weighting Variables,,21,1749-1758,Num,_LLCPWT,,Final weight assigned to each  respondent: Land-line and cell-phone data  (Raking derived weight),"{'Value': ['HIDDEN'], 'Value Label': ['Data not displayed'], 'Frequency': ['433,323'], 'Percentage': ['100.00'], 'Weighted Percentage': ['100.00']}"
Adults with good or better health,Calculated Variables,,1,1897,Num,_RFHLTH,,Adults with good or better health,"{'Value': ['1', '2', '9'], 'Value Label': ['Good or Better HealthNotes: GENHLTH = 1 or 2 or 3', 'Fair or Poor HealthNotes: GENHLTH = 4 or 5', ""Don't know/Not Sure Or Refused/MissingNotes: GENHLTH = 7 or 9 or Missing""], 'Frequency': ['349,734', '82,327', '1,262'], 'Percentage': ['80.71', '19.00', '0.29'], 'Weighted Percentage': ['80.38', '19.31', '0.32']}"
Computed Physical Health Status,Calculated Variables,,1,1898,Num,_PHYS14D,,"3 level not good physical health status: 0 days, 1-13 days, 14-30 days","{'Value': ['1', '2', '3', '9'], 'Value Label': ['Zero days when physical health not good', '1-13 days when physical health not good', '14+ days when physical health not good', ""Don't know/Refused/Missing""], 'Frequency': ['256,565', '107,509', '58,464', '10,785'], 'Percentage': ['59.21', '24.81', '13.49', '2.49'], 'Weighted Percentage': ['59.64', '25.17', '12.53', '2.66']}"
Computed Mental Health Status,Calculated Variables,,2,1899,Num,_MENT14D,,"3 level not good mental health status: 0 days, 1-13 days, 14-30 days","{'Value': ['1', '2', '3', '9'], 'Value Label': ['Zero days when mental health not good', '1-13 days when mental health not good', '14+ days when mental health not good', ""Don't know/Refused/Missing""], 'Frequency': ['257,026', '110,120', '58,069', '8,108'], 'Percentage': ['59.32', '25.41', '13.40', '1.87'], 'Weighted Percentage': ['55.80', '26.88', '15.22', '2.10']}"
Have any health insurance,Calculated Variables,,1,1900,Num,_HLTHPL1,,Adults who had some form of health insurance,"{'Value': ['1', '2', '9'], 'Value Label': ['Have some form of insuranceNotes: PRIMINS1=1, 2, 3, 4, 5, 6, 7, 8, 9, 10', 'Do not have some form of health insuranceNotes: PRIMINS1=88', ""Don't know, refused or missing insurance responseNotes: PRIMINS1=77, 99, or Missing""], 'Frequency': ['391,946', '22,703', '18,674'], 'Percentage': ['90.45', '5.24', '4.31'], 'Weighted Percentage': ['86.31', '8.11', '5.58']}"
Respondents aged 18-64 with health insurance,Calculated Variables,,2,1901,Num,_HCVU653,,Respondents aged 18-64 who have any form of health insurance,"{'Value': ['1', '2', '9'], 'Value Label': ['Have some form of health insuranceNotes: 18 <= AGE <=64 and PRIMINS1=1, 2, 3, 4, 5, 6, 7, 8, 9, 10', 'Do not have any form of health insuranceNotes: 18 <= AGE <= 64 and PRIMINS1=88', ""Don't know/Not Sure, Refused or MissingNotes: 18 <= AGE <= 64 and PRIMINS1=77, 99, or Missing or AGE => 65""], 'Frequency': ['229,958', '21,382', '181,983'], 'Percentage': ['53.07', '4.93', '42.00'], 'Weighted Percentage': ['62.93', '7.84', '29.23']}"
Leisure Time Physical Activity Calculated Variable,Calculated Variables,,1,1902,Num,_TOTINDA,,Adults who reported doing physical activity or exercise during the past 30 days other than their regular job,"{'Value': ['1', '2', '9'], 'Value Label': ['Had physical activity or exerciseNotes: EXERANY2 = 1', 'No physical activity or exercise in last 30 daysNotes: EXERANY2 = 2', ""Don't know/Refused/MissingNotes: EXERANY2 = 7 or 9 or Missing""], 'Frequency': ['325,227', '106,845', '1,251'], 'Percentage': ['75.05', '24.66', '0.29'], 'Weighted Percentage': ['75.03', '24.71', '0.26']}"
Activity MET Value for First Activity,Calculated Variables,,2,1903-1905,Num,METVL12_,,Activity MET Value for First Activity,"{'Value': ['0', '1 - 128', 'BLANK'], 'Value Label': ['Activity MET Value', 'Activity MET Value (one implied decimal place)', 'Not asked or Missing'], 'Frequency': ['25,223', '297,818', '110,282'], 'Percentage': ['7.81', '92.19', '.'], 'Weighted Percentage': ['9.76', '90.24', '.']}"
Activity MET Value for Second Activity,Calculated Variables,,3,1906-1908,Num,METVL22_,,Activity MET Value for Second Activity,"{'Value': ['0', '1 - 128', 'BLANK'], 'Value Label': ['Activity MET Value', 'Activity MET Value (one implied decimal place)', 'Not asked or Missing'], 'Frequency': ['30,412', '198,345', '204,566'], 'Percentage': ['13.29', '86.71', '.'], 'Weighted Percentage': ['14.89', '85.11', '.']}"
Estimated Age-Sex Specific Maximum Oxygen Consumption,Calculated Variables,,4,1909-1913,Num,MAXVO21_,,Estimated Age-Sex Specific Maximum Oxygen Consumption,"{'Value': ['0 - 5010', '99900'], 'Value Label': ['Estimated Maximum Oxygen Consumption  (two implied decimal places)', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['425,544', '7,779'], 'Percentage': ['98.20', '1.80'], 'Weighted Percentage': ['98.16', '1.84']}"
Estimated Functional Capacity,Calculated Variables,,5,1914-1918,Num,FC601_,,Estimated Functional Capacity,"{'Value': ['0 - 859', '99900'], 'Value Label': ['Estimated Functional Capacity (2 implied decimal places)', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['425,544', '7,779'], 'Percentage': ['98.20', '1.80'], 'Weighted Percentage': ['98.16', '1.84']}"
Estimated Activity Intensity for First Activity,Calculated Variables,,6,1919,Num,ACTIN13_,,Estimated Activity Intensity for First Activity,"{'Value': ['0', '1', '2', 'BLANK'], 'Value Label': ['Not Moderate or Vigorous or No Activity', 'Moderate', 'Vigorous', 'Not asked or Missing'], 'Frequency': ['24,892', '194,526', '97,999', '115,906'], 'Percentage': ['7.84', '61.28', '30.87', '.'], 'Weighted Percentage': ['9.83', '68.71', '21.46', '.']}"
Estimated Activity Intensity for Second Activity,Calculated Variables,,7,1920,Num,ACTIN23_,,Estimated Activity Intensity for Second Activity,"{'Value': ['0', '1', '2', 'BLANK'], 'Value Label': ['Not Moderate or Vigorous or No Activity', 'Moderate', 'Vigorous', 'Not asked or Missing'], 'Frequency': ['29,932', '115,942', '79,212', '208,237'], 'Percentage': ['13.30', '51.51', '35.19', '.'], 'Weighted Percentage': ['14.94', '60.18', '24.88', '.']}"
Minutes of First Activity,Calculated Variables,,8,1921-1923,Num,PADUR1_,,Minutes of First Activity,"{'Value': ['0 - 599', 'BLANK'], 'Value Label': ['Minutes of Activity', 'Not asked or Missing'], 'Frequency': ['315,638', '117,685'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Minutes of Second Activity,Calculated Variables,,9,1924-1926,Num,PADUR2_,,Minutes of Second Activity,"{'Value': ['0 - 599', 'BLANK'], 'Value Label': ['Minutes of Activity', 'Not asked or Missing'], 'Frequency': ['223,535', '209,788'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Physical Activity Frequency per Week for First Activity,Calculated Variables,,10,1927-1931,Num,PAFREQ1_,,Physical Activity Frequency per Week for First Activity,"{'Value': ['0 - 98999', '99000', 'BLANK'], 'Value Label': ['Activity times per week (3 implied decimal places)', ""Don't know/Not Sure/Refused"", 'Not asked or Missing'], 'Frequency': ['315,885', '263', '117,175'], 'Percentage': ['99.92', '0.08', '.'], 'Weighted Percentage': ['99.91', '0.09', '.']}"
Physical Activity Frequency per Week for Second Activity,Calculated Variables,,11,1932-1936,Num,PAFREQ2_,,Physical Activity Frequency per Week for Second Activity,"{'Value': ['0 - 98999', '99000', 'BLANK'], 'Value Label': ['Activity times per week (3 implied decimal places)', ""Don't know/Not Sure/Refused"", 'Not asked or Missing'], 'Frequency': ['224,346', '176', '208,801'], 'Percentage': ['99.92', '0.08', '.'], 'Weighted Percentage': ['99.90', '0.10', '.']}"
Minutes of Physical Activity per week for First Activity,Calculated Variables,,12,1937-1941,Num,_MINAC12,,Minutes of Physical Activity per week for First Activity,"{'Value': ['0', '1 - 99999', 'BLANK'], 'Value Label': ['Minutes of Activity per week', 'Minutes of Activity per week', 'Not asked or Missing'], 'Frequency': ['28,362', '282,470', '122,491'], 'Percentage': ['9.12', '90.88', '.'], 'Weighted Percentage': ['11.10', '88.90', '.']}"
Minutes of Physical Activity per week for Second Activity,Calculated Variables,,13,1942-1946,Num,_MINAC22,,Minutes of Physical Activity per week for Second Activity,"{'Value': ['0', '1 - 99999', 'BLANK'], 'Value Label': ['Minutes of Activity per week', 'Minutes of Activity per week', 'Not asked or Missing'], 'Frequency': ['122,581', '187,471', '123,271'], 'Percentage': ['39.54', '60.46', '.'], 'Weighted Percentage': ['41.74', '58.26', '.']}"
Strength Activity Frequency per Week,Calculated Variables,,14,1947-1951,Num,STRFREQ_,,Strength Activity Frequency per Week,"{'Value': ['0 - 98999', '99000', 'BLANK'], 'Value Label': ['Strength Activity times per week (3 implied decimal places)', ""Don't know/Not Sure/Refused"", 'Not asked or Missing'], 'Frequency': ['418,947', '203', '14,173'], 'Percentage': ['99.95', '0.05', '.'], 'Weighted Percentage': ['99.95', '0.05', '.']}"
Missing Physical Activity Data,Calculated Variables,,15,1952,Num,PAMISS3_,,Missing Physical Activity Data,"{'Value': ['0', '1', '9'], 'Value Label': ['Not Missing Physical Activity Data', 'Missing Physical Activity Data', ""Don't know/Not Sure/Refused""], 'Frequency': ['320,218', '111,854', '1,251'], 'Percentage': ['73.90', '25.81', '0.29'], 'Weighted Percentage': ['73.17', '26.57', '0.26']}"
Minutes of Physical Activity per week for First Activity,Calculated Variables,,16,1953-1957,Num,PAMIN13_,,Minutes of Physical Activity per week for First Activity,"{'Value': ['0 - 99999', '118602', 'BLANK'], 'Value Label': ['Minutes of Activity per week', '', 'Not asked or Missing'], 'Frequency': ['305,709', '2', '127,612'], 'Percentage': ['100.00', '0.00', '.'], 'Weighted Percentage': ['100.00', '0.00', '.']}"
Minutes of Physical Activity per week for Second Activity,Calculated Variables,,17,1958-1962,Num,PAMIN23_,,Minutes of Physical Activity per week for Second Activity,"{'Value': ['0 - 99999', 'BLANK'], 'Value Label': ['Minutes of Activity per week', 'Not asked or Missing'], 'Frequency': ['217,736', '215,587'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Minutes of total Physical Activity per week,Calculated Variables,,18,1963-1967,Num,PA3MIN_,,Minutes of total Physical Activity per week,"{'Value': ['0 - 99999', '118602', 'BLANK'], 'Value Label': ['Minutes of Activity per week', '', 'Not asked or Missing'], 'Frequency': ['310,072', '2', '123,249'], 'Percentage': ['100.00', '0.00', '.'], 'Weighted Percentage': ['100.00', '0.00', '.']}"
Minutes of Vigorous Physical Activity per week for First Activity,Calculated Variables,,19,1968-1972,Num,PAVIG13_,,Minutes of Vigorous Physical Activity per week for First Activity,"{'Value': ['0 - 99999', 'BLANK'], 'Value Label': ['Minutes of Activity per week', 'Not asked or Missing'], 'Frequency': ['312,636', '120,687'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Minutes of Vigorous Physical Activity per week for Second Activity,Calculated Variables,,20,1973-1977,Num,PAVIG23_,,Minutes of Vigorous Physical Activity per week for Second Activity,"{'Value': ['0 - 99999', 'BLANK'], 'Value Label': ['Minutes of Activity per week', 'Not asked or Missing'], 'Frequency': ['221,455', '211,868'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Minutes of total Vigorous Physical Activity per week,Calculated Variables,,21,1978-1982,Num,PA3VIGM_,,Minutes of total Vigorous Physical Activity per week,"{'Value': ['0 - 99999', 'BLANK'], 'Value Label': ['Minutes of Activity per week', 'Not asked or Missing'], 'Frequency': ['314,603', '118,720'], 'Percentage': ['100.00', '.'], 'Weighted Percentage': ['100.00', '.']}"
Physical Activity Categories,Calculated Variables,,22,1983,Num,_PACAT3,,Physical Activity Categories,"{'Value': ['1', '2', '3', '4', '9'], 'Value Label': ['Highly Active', 'Active', 'Insufficiently Active', 'Inactive', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['156,975', '49,274', '33,587', '108,506', '84,981'], 'Percentage': ['36.23', '11.37', '7.75', '25.04', '19.61'], 'Weighted Percentage': ['33.01', '11.95', '9.22', '25.14', '20.67']}"
Physical Activity Index,Calculated Variables,,23,1984,Num,_PAINDX3,,Physical Activity Index,"{'Value': ['1', '2', '9'], 'Value Label': ['Meet Aerobic Recommendations', 'Did Not Meet Aerobic Recommendations', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['230,855', '142,093', '60,375'], 'Percentage': ['53.28', '32.79', '13.93'], 'Weighted Percentage': ['50.86', '34.37', '14.77']}"
150 Minute Physical Activity Calculated Variable,Calculated Variables,,24,1985,Num,_PA150R4,,Adults that participated in 150 minutes (or vigorous equivalent minutes) of physical activity per week.,"{'Value': ['1', '2', '3', '9'], 'Value Label': ['150+ minutes (or vigorous equivalent minutes) of physical activity', '1-149 minutes  (or vigorous equivalent minutes) of physical activity', '0 minutes (or vigorous equivalent minutes) of physical activity', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['230,855', '33,587', '108,506', '60,375'], 'Percentage': ['53.28', '7.75', '25.04', '13.93'], 'Weighted Percentage': ['50.86', '9.22', '25.14', '14.77']}"
300 Minute Physical Activity Calculated Variable,Calculated Variables,,25,1986,Num,_PA300R4,,Adults that participated in greater than 300 minutes  (or vigorous equivalent minutes) of physical activity per week.,"{'Value': ['1', '2', '3', '9'], 'Value Label': ['301+ minutes  (or vigorous equivalent minutes) of physical activity', '1-300 minutes  (or vigorous equivalent minutes) of physical activity', '0 minutes  (or vigorous equivalent minutes) of physical activity', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['156,975', '82,861', '108,506', '84,981'], 'Percentage': ['36.23', '19.12', '25.04', '19.61'], 'Weighted Percentage': ['33.01', '21.17', '25.14', '20.67']}"
300 Minute Physical Activity 2-Level Calculated Variable,Calculated Variables,,26,1987,Num,_PA30023,,Adults that participated in greater than 300 minutes  (or vigorous equivalent minutes) of physical activity per week (2-levels).,"{'Value': ['1', '2', '9'], 'Value Label': ['301+ minutes  (or vigorous equivalent minutes) of physical activity', '0-300 minutes  (or vigorous equivalent minutes) of physical activity', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['156,975', '191,367', '84,981'], 'Percentage': ['36.23', '44.16', '19.61'], 'Weighted Percentage': ['33.01', '46.32', '20.67']}"
Muscle Strengthening Recommendation,Calculated Variables,,27,1988,Num,_PASTRNG,,Muscle Strengthening Recommendation,"{'Value': ['1', '2', '9'], 'Value Label': ['Meet muscle strengthening recommendations', 'Did not meet muscle strengthening recommendations', ""Don't know/Not Sure/Refused/Missing""], 'Frequency': ['167,934', '251,216', '14,173'], 'Percentage': ['38.75', '57.97', '3.27'], 'Weighted Percentage': ['39.39', '57.45', '3.16']}"
